,city,lat,lon,temp,humidity,cloud_cover,wind_speed,country,date
119,namibe,-15.2,12.15,77.74,69,0,2.01,AO,1588714248
120,umm lajj,25.02,37.27,79.36,45,0,13.09,SA,1588714248
121,erzin,36.96,36.2,64.99,84,91,4.18,TR,1588714248
122,koumac,-20.57,164.28,68.56,86,100,11.72,NC,1588714249
123,fountain hills,33.61,-111.72,98.82,9,1,6.93,US,1588714249
124,thompson,55.74,-97.86,35.6,51,20,6.93,CA,1588714249
125,gamba,-2.65,10.0,78.48,92,46,4.9,GA,1588714249
126,new norfolk,-42.78,147.06,50.16,84,100,3.69,AU,1588714197
127,mecca,21.43,39.83,81.09,33,61,2.28,SA,1588714250
128,kholodnyy,62.72,147.95,20.21,91,16,7.07,RU,1588714250
129,dubbo,-32.25,148.62,50.0,100,90,8.05,AU,1588714250
130,ancud,-41.87,-73.82,52.38,87,43,5.82,CL,1588714251
131,saint-francois,46.42,3.91,55.4,82,0,2.24,FR,1588714251
132,butaritari,3.07,172.79,82.92,81,4,10.56,KI,1588714251
133,nikolskoye,59.7,30.79,46.83,50,49,2.24,RU,1588714252
134,tuktoyaktuk,69.45,-133.04,30.2,74,75,10.29,CA,1588714252
135,atar,20.52,-13.05,87.37,13,0,6.31,MR,1588714252
136,leningradskiy,69.38,178.42,19.89,92,1,7.76,RU,1588714252
137,vila,42.03,-8.16,56.97,93,75,5.82,PT,1588714252
138,xining,36.62,101.77,54.55,76,25,2.82,CN,1588714005
139,tallahassee,30.44,-84.28,88.12,38,40,12.75,US,1588714195
140,hithadhoo,-0.6,73.08,83.82,73,100,9.06,MV,1588714204
141,ekibastuz,51.67,75.37,42.91,60,0,5.39,KZ,1588714253
142,saskylakh,71.92,114.08,-2.83,91,58,7.76,RU,1588714253
143,saint anthony,45.02,-93.22,59.11,21,1,5.82,US,1588714253
144,manggar,-2.88,108.27,81.97,81,4,5.5,ID,1588714254
145,broken hill,-31.95,141.43,48.2,70,82,9.17,AU,1588714254
146,jalu,29.03,21.55,64.69,47,0,9.91,LY,1588714254
147,antofagasta,-23.65,-70.4,62.6,72,32,12.75,CL,1588714255
148,galle,6.04,80.22,82.2,78,95,4.45,LK,1588714255
149,hovd,48.01,91.64,38.03,67,72,7.38,MN,1588714255
150,kargasok,59.06,80.86,42.48,86,100,8.63,RU,1588714452
151,kangalassy,62.35,129.96,26.6,73,79,3.04,RU,1588714452
152,mar del plata,-38.0,-57.56,53.87,66,90,16.11,AR,1588714180
153,zlobin,45.29,14.65,57.99,74,98,1.01,HR,1588714453
154,praya,14.92,-23.51,75.2,73,20,10.29,CV,1588714453
155,enshi,30.3,109.48,68.7,85,100,2.51,CN,1588714453
156,kutum,14.2,24.67,76.1,17,23,10.6,SD,1588714453
157,east london,-33.02,27.91,64.54,68,88,12.77,ZA,1588714453
158,barra do corda,-5.5,-45.25,76.33,92,99,5.37,BR,1588714453
159,port elizabeth,-33.92,25.57,62.6,77,9,11.41,ZA,1588714454
160,aktash,50.3,87.73,17.6,94,27,3.51,RU,1588714454
161,popondetta,-8.75,148.25,75.34,95,100,0.87,PG,1588714454
162,kamenka,51.32,42.77,57.99,92,100,15.39,RU,1588714455
163,bethel,41.37,-73.41,59.0,22,1,9.17,US,1588714455
164,bikin,46.82,134.26,47.25,63,18,3.22,RU,1588714455
165,deulgaon raja,20.02,76.03,85.33,25,2,12.01,IN,1588714455
166,lorengau,-2.02,147.27,81.88,80,100,3.8,PG,1588714455
167,kuching,1.55,110.33,77.0,94,40,1.12,MY,1588714456
168,barguzin,53.62,109.62,43.09,68,100,6.11,RU,1588714456
169,plettenberg bay,-34.05,23.37,61.25,70,56,6.76,ZA,1588714456
